time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,time/fps,train/n_updates,train/learning_rate
111860,1631,70.63612289999999,-36.44880676269531,7520,14.94,0.45072150230407715,68,111759,0.001
112010,1633,70.64428272,-36.02367401123047,7530,14.94,0.09594897925853729,68,111909,0.001
112157,1635,70.50139687000001,-36.58592224121094,7540,14.91,0.16566145420074463,68,112056,0.001
112307,1637,70.49517929,-34.44489288330078,7550,14.91,0.09472296386957169,68,112206,0.001
112455,1639,70.40102451000001,-35.791168212890625,7560,14.89,0.10081034898757935,68,112354,0.001
112605,1641,70.44081392,-35.650272369384766,7570,14.9,0.22016002237796783,68,112504,0.001
112751,1644,70.25430638,-35.35544204711914,7580,14.86,0.09850937873125076,68,112650,0.001
112900,1646,70.21077584,-36.04861831665039,7590,14.85,0.052708208560943604,68,112799,0.001
113049,1648,70.34887911000001,-37.163902282714844,7600,14.88,0.017385872080922127,68,112948,0.001
113199,1650,70.40183579,-35.22747039794922,7610,14.89,0.3912990689277649,68,113098,0.001
113347,1652,70.31819481999999,-35.494781494140625,7620,14.87,0.21842753887176514,68,113246,0.001
113496,1654,70.27351676,-36.135032653808594,7630,14.86,0.22582155466079712,68,113395,0.001
113642,1657,70.22432758999999,-35.56304168701172,7640,14.85,0.2408740222454071,68,113541,0.001
113791,1659,70.17600403,-35.76367950439453,7650,14.84,0.23297259211540222,68,113690,0.001
113939,1661,70.17325079000001,-34.432735443115234,7660,14.84,0.15780077874660492,68,113838,0.001
114089,1663,70.17059595,-34.744266510009766,7670,14.84,0.09564565867185593,68,113988,0.001
114238,1666,70.30958656000001,-35.942901611328125,7680,14.87,0.3549460768699646,68,114137,0.001
114386,1668,70.26131147,-35.97573471069336,7690,14.86,0.15471169352531433,68,114285,0.001
114534,1670,70.21421787,-35.46343994140625,7700,14.85,0.34503957629203796,68,114433,0.001
114682,1672,70.11958218999999,-36.120506286621094,7710,14.83,0.16712428629398346,68,114581,0.001
114830,1674,70.10978006,-36.79469680786133,7720,14.83,0.21640144288539886,68,114729,0.001
114975,1677,69.91291095,-36.89106750488281,7730,14.79,0.09544438868761063,68,114874,0.001
115125,1679,70.09936611999998,-34.94647979736328,7740,14.83,0.0934734120965004,68,115024,0.001
115273,1681,70.05135708,-36.53397750854492,7750,14.82,0.23624327778816223,68,115172,0.001
115423,1683,70.14718801,-34.68159484863281,7760,14.84,0.2859373688697815,68,115322,0.001
115571,1685,70.05632902,-37.10004806518555,7770,14.82,0.05693552643060684,68,115470,0.001
